measure,capability_mw,capability_kind,capex_low_wanyuan,capex_center_wanyuan,capex_high_wanyuan,capex_per_mw_low,capex_per_mw_center,capex_per_mw_high,cost_basis,quality_flag
新建10kV联络（NEW-TIE-01）,9.05,站间转供（双向；受端需有可转入负荷，只转移不新增）,84.0,150.0,234.0,9.3,16.6,25.9,60万元/km行业典型值（±30%）×长度2.5km（±20%）,model_assumption_pending_owner_cost_data
储能一体化柜（单柜）,0.1,本地反向吸收＋正向支撑（含能量时移，0.215MWh/柜）,27.2,27.2,27.2,272.0,272.0,272.0,苏州单套最高限价27.2万元（招标公告）,source_backed
储能一体化柜（十柜批量）,1.0,同上，批量采购水平,210.456,210.456,210.456,210.5,210.5,210.5,浏阳1MW/2.2MWh中标价210.456万元,source_backed
50 MVA第三台主变,47.5,新增正向供电容量（不治理反向）,1170.0,1343.0,1516.0,24.6,28.3,31.9,徐州同类型工程区间（SRC10+SRC03，74个候选点）,source_backed
