station_id,station_name,rated_capacity_mva,2025_annual_max_load_mw,max_time,2025_annual_min_load_mw,min_time,normal_spare_at_annual_max_mva,main_wiring,10kv_intervals_total,10kv_intervals_remaining,n1_flag_from_asset_table,transformer_count,largest_transformer_mva,surviving_capacity_after_largest_outage_mva,simple_n1_screening_gap_at_station_peak_mw,expandable_transformer_count,expandable_capacity_mva,boundary_use_rule,source
BDZ-00027,墩集变,100.0,59.21,2025-08-29 17:00:00,-37.27,2025-05-01 11:47:00,40.79,单母分段,24,0,是,2,50,50,-9.21,1,50,simple N-1 gap仅容量筛查，实际N-1需10kV/上级网络转供联合校核。,数据_脱敏(1).zip: 2025设备负载统计表+110（35）kv设备明细
BDZ-00048,河湾变,150.0,73.74,2025-07-05 22:10:00,-5.22,2025-04-22 12:35:00,76.26,单母分段,26,0,是,2,100,50,-23.74,1,100,simple N-1 gap仅容量筛查，实际N-1需10kV/上级网络转供联合校核。,数据_脱敏(1).zip: 2025设备负载统计表+110（35）kv设备明细
