year,region_id,voltage_kv,path_id,status,reason,installed_capacity_mva,reported_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,complete_path_status,complete_path_reason,baseline_capacity_mva,physical_clr,policy_control_capacity_mva,policy_control_ratio
2022,QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1885.5,1885.5,0.0,0.0,627.197268,0.0,3.00623120698925,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1885.5,3.00623120698925,1885.5,3.00623120698925
2023,QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1885.5,1885.5,0.0,0.0,647.04862,0.0,2.9140004965932853,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1885.5,2.9140004965932853,1885.5,2.9140004965932853
2024,QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1885.5,1885.5000000000002,0.0,0.0,633.321947,0.0,2.977158787772122,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1885.5,2.977158787772122,1885.5000000000002,2.977158787772122
2025,QX-00004,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,1885.5,1885.5,124.0,12.4,634.28,0.0,2.972661915873116,0.0,0.0,2613.760544,433.53912471027945,2613.760544,433.53912471027945,feasible,complete_2022_2025_feasible_path,1885.5,2.972661915873116,1885.5,2.972661915873116
2022,QX-00005,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,245.0,245.0,0.0,0.0,124.717665,0.0,1.964437034641404,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,245.0,1.964437034641404,245.0,1.964437034641404
2023,QX-00005,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,245.0,245.0,0.0,0.0,86.7,0.0,2.825836216839677,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,245.0,2.825836216839677,245.0,2.825836216839677
2024,QX-00005,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,245.0,245.0,0.0,0.0,128.361542,0.0,1.9086713682514038,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,245.0,1.9086713682514038,245.0,1.9086713682514038
2025,QX-00005,35,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,,,,,,,,,,,,,,infeasible,no_complete_2022_2025_feasible_path,245.0,,,
2022,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,2027.0,2027.0,0.0,0.0,825.004193,0.0,2.456957209670812,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,2027.0,2.456957209670812,2027.0,2.456957209670812
2023,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,2027.0,2027.0,0.0,0.0,761.231803,0.0,2.6627894315655647,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,2027.0,2.6627894315655647,2027.0,2.6627894315655647
2024,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,2027.0,2027.0000000000002,0.0,0.0,862.661537,0.0,2.3497048530169953,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,2027.0,2.3497048530169953,2027.0000000000002,2.3497048530169953
2025,QX-00005,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,2077.0,2077.0,465.0,46.5,956.45,375.6034408297081,2.1715719588060014,0.0,0.0,11132.635252,1745.5282990715316,11132.635252,1745.5282990715316,feasible,complete_2022_2025_feasible_path,2027.0,2.1715719588060014,2077.0,2.1715719588060014
2022,QX-00007,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,56.0,56.0,0.0,0.0,11.017072,0.0,5.083020243491192,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,56.0,5.083020243491192,56.0,5.083020243491192
2023,QX-00007,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,56.0,56.0,0.0,0.0,14.05,0.0,3.9857651245551597,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,56.0,3.9857651245551597,56.0,3.9857651245551597
2024,QX-00007,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,56.0,56.0,0.0,0.0,13.057754,0.0,4.288639531729577,0.0,0.0,0.0,0.0,0.0,0.0,infeasible,no_complete_2022_2025_feasible_path,56.0,4.288639531729577,56.0,4.288639531729577
