year,region_id,voltage_kv,path_id,status,reason,complete_path_status,complete_path_reason,installed_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan
2023,QX-00004,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1994.0,0,0.0,647.04862,,3.081684959006635,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00004,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1994.0,0,0.0,633.321947,,3.148477657288576,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00004,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2094.0,0,0.0,634.28,,3.301381093523365,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,245.0,0,0.0,80.76,,3.033680039623576,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,263.0,0,0.0,124.717665,,2.108763020859956,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,263.0,0,0.0,86.7,,3.0334486735870816,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,263.0,0,0.0,128.361542,,2.048900285102527,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,275.0,0,0.0,147.65,,1.86251269895022,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2027.0,0,0.0,731.77,,2.7699960370061634,未识别,未识别,未识别,未识别,未识别,未识别
2022,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2045.5,0,0.0,825.004193,,2.4793813381261205,未识别,未识别,未识别,未识别,未识别,未识别
2023,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2151.0,0,0.0,761.231803,,2.8256833089775677,未识别,未识别,未识别,未识别,未识别,未识别
2024,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2169.5,0,0.0,862.661537,,2.5148913066701386,未识别,未识别,未识别,未识别,未识别,未识别
2025,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2139.5,0,0.0,956.45,,2.2369177688326625,未识别,未识别,未识别,未识别,未识别,未识别
2021,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,56.0,0,0.0,32.43,,1.7267961763798951,未识别,未识别,未识别,未识别,未识别,未识别
