scenario_id,rcap,rcap_numeric,region_id,path_id,storage_eac_wanyuan_per_year,expansion_eac_wanyuan_per_year,storage_cumulative_in_service_eac_wanyuan,expansion_cumulative_in_service_eac_wanyuan
discount_rate_high,2.17,2.17,QX-00001,PATH_OPT_CLR_LE_2,520.1995413,0,520.1995413,0
discount_rate_high,2.17,2.17,QX-00005,PATH_OPT_CLR_LE_2,3625.591155,0,3625.591155,0
discount_rate_high,2.171,2.171,QX-00001,PATH_OPT_CLR_LE_2,520.1995413,0,520.1995413,0
discount_rate_high,2.171,2.171,QX-00005,PATH_OPT_CLR_LE_2,3625.591155,0,3625.591155,0
discount_rate_high,2.172,2.172,QX-00001,PATH_OPT_CLR_LE_2,520.1995413,0,520.1995413,0
discount_rate_high,2.172,2.172,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.18,2.18,QX-00001,PATH_OPT_CLR_LE_2,520.1995413,0,520.1995413,0
discount_rate_high,2.18,2.18,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.2,2.2,QX-00001,PATH_OPT_CLR_LE_2,520.1995413,0,520.1995413,0
discount_rate_high,2.2,2.2,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.3,2.3,QX-00001,PATH_OPT_CLR_LE_2,520.1995413,0,520.1995413,0
discount_rate_high,2.3,2.3,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.35,2.35,QX-00001,PATH_OPT_CLR_LE_2,520.1995413,0,520.1995413,0
discount_rate_high,2.35,2.35,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.359,2.359,QX-00001,PATH_OPT_CLR_LE_2,520.1995413,0,520.1995413,0
discount_rate_high,2.359,2.359,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.36,2.36,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,2.36,2.36,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.37,2.37,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,2.37,2.37,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.4,2.4,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,2.4,2.4,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.5,2.5,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,2.5,2.5,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.6,2.6,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,2.6,2.6,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.7,2.7,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,2.7,2.7,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.8,2.8,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,2.8,2.8,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,2.9,2.9,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,2.9,2.9,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,3.0,3,QX-00001,PATH_OPT_CLR_LE_2,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,3.0,3,QX-00005,PATH_OPT_CLR_LE_2,1752.633394,143.469243,1752.633394,143.469243
discount_rate_high,unbounded,,QX-00001,PATH_OPT_CLR_UNBOUNDED,71.71038022,143.469243,71.71038022,143.469243
discount_rate_high,unbounded,,QX-00005,PATH_OPT_CLR_UNBOUNDED,1752.633394,143.469243,1752.633394,143.469243
storage_life_short,2.0,2,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.0,2,QX-00005,PATH_OPT_CLR_LE_2,3868.738211,0,3868.738211,0
storage_life_short,2.1,2.1,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.1,2.1,QX-00005,PATH_OPT_CLR_LE_2,3868.738211,0,3868.738211,0
storage_life_short,2.15,2.15,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.15,2.15,QX-00005,PATH_OPT_CLR_LE_2,3868.738211,0,3868.738211,0
storage_life_short,2.16,2.16,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.16,2.16,QX-00005,PATH_OPT_CLR_LE_2,3868.738211,0,3868.738211,0
storage_life_short,2.17,2.17,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.17,2.17,QX-00005,PATH_OPT_CLR_LE_2,3868.738211,0,3868.738211,0
storage_life_short,2.171,2.171,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.171,2.171,QX-00005,PATH_OPT_CLR_LE_2,3868.738211,0,3868.738211,0
storage_life_short,2.172,2.172,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.172,2.172,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.18,2.18,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.18,2.18,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.2,2.2,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.2,2.2,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.3,2.3,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.3,2.3,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.35,2.35,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.35,2.35,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.359,2.359,QX-00001,PATH_OPT_CLR_LE_2,555.0862624,0,555.0862624,0
storage_life_short,2.359,2.359,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.36,2.36,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,2.36,2.36,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
storage_life_short,2.37,2.37,QX-00001,PATH_OPT_CLR_LE_2,76.51957329,121.7414881,76.51957329,121.7414881
storage_life_short,2.37,2.37,QX-00005,PATH_OPT_CLR_LE_2,1870.172199,121.7414881,1870.172199,121.7414881
