region_id,near_optimal_band,formal_sensitivity_scenario_count,annualization_scenario_count,robust_rcap_points,robust_rcap_lower,robust_rcap_upper,scan_upper,upper_identified_within_scan,scenario_point_sets,interpretation
QX-00001,0.05,17,10,2.5;2.6;2.7;2.8;2.9;3,2.5,,3,False,"formal_17_scenarios:2.5,2.6,2.7,2.8,2.9,3 | discount_rate_low:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | discount_rate_high:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | storage_life_short:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | storage_life_long:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | transformer_life_short:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | transformer_life_long:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | storage_high_om_transformer_low_om:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | storage_low_om_transformer_high_om:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | annualization_storage_unfavorable:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | annualization_storage_favorable:2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3",年化参数场景与主基准的共同近优带向扫描上界延伸，未识别上界
QX-00005,0.05,17,10,2.3;2.4;2.5;2.6;2.7;2.8;2.9;3,2.3,,3,False,"formal_17_scenarios:2.3,2.4,2.5,2.6,2.7,2.8,2.9,3 | discount_rate_low:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | discount_rate_high:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | storage_life_short:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | storage_life_long:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | transformer_life_short:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | transformer_life_long:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | storage_high_om_transformer_low_om:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | storage_low_om_transformer_high_om:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | annualization_storage_unfavorable:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3 | annualization_storage_favorable:2.172,2.18,2.2,2.3,2.35,2.359,2.36,2.37,2.4,2.5,2.6,2.7,2.8,2.9,3",年化参数场景与主基准的共同近优带向扫描上界延伸，未识别上界
