region_id,storage_modules,storage_power_mw,storage_energy_mwh,capex_low_wanyuan,capex_base_wanyuan,capex_high_wanyuan,eac_low_wanyuan_per_year,eac_base_wanyuan_per_year,eac_high_wanyuan_per_year,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-ALL,0,0,0,0,0,0,0,0,0,model_contract.yaml+参考政策/储能成本依据/来源与适用说明.md,model_contract_3.2.0,apply 10-module block CAPEX rule; sensitivity uses source yuan/Wh bounds,real_2021_2025_cost_library,policy_anchor_with_model_annualization_assumptions,f00f5cfdd5a3a4180f98808ea363e44c1a985f6b7a593a3c40ead1301ba0bb8b
QX-ALL,1,0.1,0.215,21.04635,27.2,27.19965,2.55822957,4.169513686,5.957124833,model_contract.yaml+参考政策/储能成本依据/来源与适用说明.md,model_contract_3.2.0,apply 10-module block CAPEX rule; sensitivity uses source yuan/Wh bounds,real_2021_2025_cost_library,policy_anchor_with_model_annualization_assumptions,f00f5cfdd5a3a4180f98808ea363e44c1a985f6b7a593a3c40ead1301ba0bb8b
QX-ALL,10,1,2.15,210.4635,210.456262,271.9965,25.5822957,32.26103914,59.57124833,model_contract.yaml+参考政策/储能成本依据/来源与适用说明.md,model_contract_3.2.0,apply 10-module block CAPEX rule; sensitivity uses source yuan/Wh bounds,real_2021_2025_cost_library,policy_anchor_with_model_annualization_assumptions,f00f5cfdd5a3a4180f98808ea363e44c1a985f6b7a593a3c40ead1301ba0bb8b
QX-ALL,11,1.1,2.365,231.50985,237.656262,299.19615,28.14052527,36.43055283,65.52837316,model_contract.yaml+参考政策/储能成本依据/来源与适用说明.md,model_contract_3.2.0,apply 10-module block CAPEX rule; sensitivity uses source yuan/Wh bounds,real_2021_2025_cost_library,policy_anchor_with_model_annualization_assumptions,f00f5cfdd5a3a4180f98808ea363e44c1a985f6b7a593a3c40ead1301ba0bb8b
QX-ALL,20,2,4.3,420.927,420.912524,543.993,51.16459139,64.52207828,119.1424967,model_contract.yaml+参考政策/储能成本依据/来源与适用说明.md,model_contract_3.2.0,apply 10-module block CAPEX rule; sensitivity uses source yuan/Wh bounds,real_2021_2025_cost_library,policy_anchor_with_model_annualization_assumptions,f00f5cfdd5a3a4180f98808ea363e44c1a985f6b7a593a3c40ead1301ba0bb8b
