timestamp,Z1_fwd_day,timestamp,Z2_rev_day
2025-08-20 00:00:00,95.237,2025-03-24 00:00:00,54.3369
2025-08-20 01:00:00,83.8066,2025-03-24 01:00:00,47.7671
2025-08-20 02:00:00,73.60079999999999,2025-03-24 02:00:00,41.9778
2025-08-20 03:00:00,69.7423,2025-03-24 03:00:00,39.972300000000004
2025-08-20 04:00:00,74.3322,2025-03-24 04:00:00,42.80969999999999
2025-08-20 05:00:00,83.59989999999999,2025-03-24 05:00:00,46.6956
2025-08-20 06:00:00,93.8253,2025-03-24 06:00:00,53.0279
2025-08-20 07:00:00,99.78190000000001,2025-03-24 07:00:00,0.9357000000000002
2025-08-20 08:00:00,112.83879999999999,2025-03-24 08:00:00,-67.0876
2025-08-20 09:00:00,139.1891,2025-03-24 09:00:00,-116.29930000000002
2025-08-20 10:00:00,161.0863,2025-03-24 10:00:00,-143.5711
2025-08-20 11:00:00,160.802,2025-03-24 11:00:00,-167.1525
2025-08-20 12:00:00,146.5564,2025-03-24 12:00:00,-188.11219999999997
2025-08-20 13:00:00,121.8715,2025-03-24 13:00:00,-190.353
2025-08-20 14:00:00,98.9016,2025-03-24 14:00:00,-167.0341
2025-08-20 15:00:00,101.04690000000001,2025-03-24 15:00:00,-114.41050000000001
2025-08-20 16:00:00,114.37410000000001,2025-03-24 16:00:00,-39.070800000000006
2025-08-20 17:00:00,136.24259999999998,2025-03-24 17:00:00,48.0287
2025-08-20 18:00:00,174.66649999999998,2025-03-24 18:00:00,99.8844
2025-08-20 19:00:00,211.834,2025-03-24 19:00:00,120.38669999999999
2025-08-20 20:00:00,229.12509999999997,2025-03-24 20:00:00,131.19129999999998
2025-08-20 21:00:00,214.91150000000002,2025-03-24 21:00:00,120.37219999999999
2025-08-20 22:00:00,172.93970000000002,2025-03-24 22:00:00,98.4167
2025-08-20 23:00:00,142.22,2025-03-24 23:00:00,78.7014
