rcap,rcap_numeric,region_id,voltage_kv,feasible,status,cumulative_in_service_eac_wanyuan,capacity_action_delta_mva,action_types,candidate_ids,selected_action_count,policy_basis,retirement_candidates_enabled,physical_clr_2025,policy_control_ratio_2025,installed_capacity_mva_2025,storage_modules,p_plus_mw_2025,p_minus_mw_2025,cos_phi
1.6,1.6,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.6,699.5,173.0,313.03,0.0,0.95
1.7,1.7,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.7,699.5,173.0,313.03,0.0,0.95
1.8,1.8,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.8,699.5,173.0,313.03,0.0,0.95
1.9,1.9,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,1.9,699.5,173.0,313.03,0.0,0.95
2.0,2.0,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.0,699.5,173.0,313.03,0.0,0.95
2.1,2.1,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.1,699.5,173.0,313.03,0.0,0.95
2.2,2.2,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2,699.5,173.0,313.03,0.0,0.95
2.3,2.3,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
2.4,2.4,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
2.5,2.5,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
2.6,2.6,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
2.7,2.7,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
2.8,2.8,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
2.9,2.9,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
3.0,3.0,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
unbounded,,QX-00003,110,True,feasible,604.7015068817583,0.0,storage,,1,actual_2021_asset_baseline_unbounded,False,2.2346101012682493,2.2346101012682493,699.5,173.0,313.03,0.0,0.95
1.5,1.5,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.5,1885.5,124.0,634.28,0.0,0.95
1.6,1.6,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.6,1885.5,124.0,634.28,0.0,0.95
1.7,1.7,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.6999999999999995,1885.5,124.0,634.28,0.0,0.95
1.8,1.8,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.8,1885.5,124.0,634.28,0.0,0.95
1.9,1.9,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,1.9,1885.5,124.0,634.28,0.0,0.95
2.0,2.0,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.0,1885.5,124.0,634.28,0.0,0.95
2.1,2.1,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.1,1885.5,124.0,634.28,0.0,0.95
2.2,2.2,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.2,1885.5,124.0,634.28,0.0,0.95
2.3,2.3,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.3,1885.5,124.0,634.28,0.0,0.95
2.4,2.4,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.4,1885.5,124.0,634.28,0.0,0.95
2.5,2.5,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.5,1885.5,124.0,634.28,0.0,0.95
2.6,2.6,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.6,1885.5,124.0,634.28,0.0,0.95
2.7,2.7,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.7,1885.5,124.0,634.28,0.0,0.95
2.8,2.8,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.8,1885.5,124.0,634.28,0.0,0.95
2.9,2.9,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.9,1885.5,124.0,634.28,0.0,0.95
3.0,3.0,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.972661915873116,2.972661915873116,1885.5,124.0,634.28,0.0,0.95
unbounded,,QX-00004,110,True,feasible,433.53912471027945,0.0,storage,,1,actual_2021_asset_baseline_unbounded,False,2.972661915873116,2.972661915873116,1885.5,124.0,634.28,0.0,0.95
1.5,1.5,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.5000000000000002,2027.0,962.0,956.45,364.954958178341,0.95
1.6,1.6,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.6,2027.0,962.0,956.45,364.954958178341,0.95
1.7,1.7,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.7000000000000002,2027.0,962.0,956.45,364.954958178341,0.95
1.8,1.8,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.8,2027.0,962.0,956.45,364.954958178341,0.95
1.9,1.9,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,1.9,2027.0,962.0,956.45,364.954958178341,0.95
2.0,2.0,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.0,2027.0,962.0,956.45,364.954958178341,0.95
2.1,2.1,QX-00005,110,True,feasible,3359.0522240281625,0.0,storage,,1,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.1192953107846724,2.1,2027.0,962.0,956.45,364.954958178341,0.95
