region_id,voltage_kv,station_id,src01_capacity_mva,annual_max_net_load_mw,annual_max_timestamp,annual_min_net_load_mw,annual_min_timestamp,net_load_interpretation,asset_scope_id,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,110,BDZ-00105,111.5,63.35,2025-11-07 09:45:00,-31.14,2025-11-20 12:05:00,net_load_no_pv_resubtraction,operating_2025,131,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00116,100,29.74,2025-12-22 09:15:00,-48.09,2025-08-01 12:10:00,net_load_no_pv_resubtraction,operating_2025,125,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00117,63,25,2025-01-28 21:15:00,-19.7,2025-11-01 11:40:00,net_load_no_pv_resubtraction,operating_2025,127,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00123,113,38.74,2025-01-28 21:30:00,-21.78,2025-03-16 11:55:00,net_load_no_pv_resubtraction,operating_2025,130,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00126,113,62.02,2025-01-28 21:55:00,-43.97,2025-05-17 12:25:00,net_load_no_pv_resubtraction,operating_2025,126,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00132,100,19.51,2025-08-21 20:55:00,-0.33,2025-09-25 12:52:00,net_load_no_pv_resubtraction,operating_2025,193,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00165,100,60.44,2025-07-25 00:04:00,-4.12,2025-04-25 12:49:00,net_load_no_pv_resubtraction,operating_2025,206,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00174,100,70.02,2025-04-01 16:25:00,-23.61,2025-05-01 11:55:00,net_load_no_pv_resubtraction,operating_2025,128,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00177,63,7.26,2025-12-17 16:10:00,-5.27,2025-05-03 13:00:00,net_load_no_pv_resubtraction,operating_2025,210,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00254,30,4.62,2025-08-29 22:55:00,0.2,2025-09-20 12:55:00,net_load_no_pv_resubtraction,operating_2025,221,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00258,40,22.1,2025-07-05 21:20:00,-14,2025-04-12 12:50:00,net_load_no_pv_resubtraction,operating_2025,216,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00267,16,5.7,2025-07-05 22:20:00,-1.9,2025-11-02 08:20:00,net_load_no_pv_resubtraction,operating_2025,222,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00268,36,11.82,2025-07-05 22:25:00,-17.4,2025-09-21 11:05:00,net_load_no_pv_resubtraction,operating_2025,215,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00282,16,3.62,2025-02-19 07:15:00,-3.17,2025-05-26 12:40:00,net_load_no_pv_resubtraction,operating_2025,218,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00286,24,7.65,2025-07-22 22:05:00,-4.11,2025-05-14 12:35:00,net_load_no_pv_resubtraction,operating_2025,219,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00294,15,10.65,2025-12-13 11:25:00,-9.47,2025-05-03 12:15:00,net_load_no_pv_resubtraction,operating_2025,214,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00302,40,21.91,2025-07-03 22:10:00,-8.89,2025-03-13 13:15:00,net_load_no_pv_resubtraction,operating_2025,217,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00305,45,27.59,2025-07-09 01:10:00,-10.8,2025-08-11 12:05:00,net_load_no_pv_resubtraction,operating_2025,220,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00311,40,22.52,2025-08-21 12:20:00,2.28,2025-05-03 12:25:00,net_load_no_pv_resubtraction,operating_2025,223,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00007,81.5,43.38,2025-07-03 20:45:00,-39.38,2025-04-12 12:50:00,net_load_no_pv_resubtraction,operating_2025,162,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00010,100,29.94,2025-09-23 15:19:00,-24.32,2025-06-02 12:25:00,net_load_no_pv_resubtraction,operating_2025,164,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00017,100,35.82,2025-01-03 07:25:00,-4.24,2025-05-03 12:50:00,net_load_no_pv_resubtraction,operating_2025,80,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00019,126,30.6,2025-02-07 18:24:00,-14.7,2025-06-02 12:23:00,net_load_no_pv_resubtraction,operating_2025,83,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00025,126,96.51,2025-07-05 21:15:00,-20.8,2025-05-01 12:15:00,net_load_no_pv_resubtraction,operating_2025,79,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00060,70,12.72,2025-07-05 20:55:00,-1.67,2025-04-25 12:35:00,net_load_no_pv_resubtraction,operating_2025,81,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00101,81.5,22.86,2025-08-22 14:35:00,-28.34,2025-05-01 12:15:00,net_load_no_pv_resubtraction,operating_2025,78,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00153,100,27.87,2025-08-21 20:31:00,-17.07,2025-05-03 12:28:00,net_load_no_pv_resubtraction,operating_2025,201,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00158,100,40.64,2025-08-21 21:15:00,3.22,2025-04-14 13:20:00,net_load_no_pv_resubtraction,operating_2025,82,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,110,BDZ-00183,100,14.63,2025-08-27 19:56:00,-5.41,2025-10-24 12:24:00,net_load_no_pv_resubtraction,operating_2025,212,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00004,35,BDZ-00250,40,25.36,2025-07-07 12:55:00,3.55,2025-05-09 02:45:00,net_load_no_pv_resubtraction,operating_2025,261,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00004,35,BDZ-00262,28,6.46,2025-08-29 22:55:00,-7.64,2025-08-01 12:35:00,net_load_no_pv_resubtraction,operating_2025,259,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00004,35,BDZ-00263,16,8.45,2025-07-06 20:55:00,-12.57,2025-04-29 13:05:00,net_load_no_pv_resubtraction,operating_2025,254,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,select 2025 signed station annual extrema; do not sum extrema as synchronous county peak,real_2025,source_value,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
