year,region_id,voltage_kv,path_id,status,reason,complete_path_status,complete_path_reason,installed_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,reported_capacity_mva
2024,QX-00004,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,1994,0,0,633.321947,,3.148477657,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00004,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2094,0,0,634.28,,3.301381094,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,245,0,0,80.76,,3.03368004,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,263,0,0,124.717665,,2.108763021,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,263,0,0,86.7,,3.033448674,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,263,0,0,128.361542,,2.048900285,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00005,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,275,0,0,147.65,,1.862512699,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2027,0,0,731.77,,2.769996037,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2045.5,0,0,825.004193,,2.479381338,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2151,0,0,761.231803,,2.825683309,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2169.5,0,0,862.661537,,2.514891307,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00005,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,2139.5,0,0,956.45,,2.236917769,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,56,0,0,32.43,,1.726796176,未识别,未识别,未识别,未识别,未识别,未识别,
2022,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,56,0,0,11.017072,,5.083020243,未识别,未识别,未识别,未识别,未识别,未识别,
2023,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,36,0,0,14.05,,2.56227758,未识别,未识别,未识别,未识别,未识别,未识别,
2024,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,36,0,0,13.057754,,2.756982556,未识别,未识别,未识别,未识别,未识别,未识别,
2025,QX-00007,35,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,36,0,0,14.68,,2.452316076,未识别,未识别,未识别,未识别,未识别,未识别,
2021,QX-00007,110,PATH_ACTUAL_2021_2025,fact,official_annual_anchor_not_ranked,fact,official_fact_path_not_ranked,3113.5,0,0,1449.77,,2.14758203,未识别,未识别,未识别,未识别,未识别,未识别,
