year,region_id,voltage_kv,path_id,status,reason,complete_path_status,complete_path_reason,installed_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,reported_capacity_mva
2022,QX-00008,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1382,0,0,628.477601,0,2.198964606,0.0,0.0,0.0,0.0,0.0,0.0,1382
2023,QX-00008,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1382,0,0,660.560758,0,2.092161824,0.0,0.0,0.0,0.0,0.0,0.0,1382
2024,QX-00008,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1382,0,0,689.65649,0,2.003896172,0.0,0.0,0.0,0.0,0.0,0.0,1382
2025,QX-00008,110,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,310.3,0,0,87.769699,0,3.535388677,0.0,0.0,0.0,0.0,0.0,0.0,310.3
2023,QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,310.3,0,0,86.11926,0,3.603142897,0.0,0.0,0.0,0.0,0.0,0.0,310.3
2024,QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,310.3,0,0,91.511376,0,3.390835255,0.0,0.0,0.0,0.0,0.0,0.0,310.3
2025,QX-00009,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,310.3,6,0.6,89,0,3.486516854,0.0,0.0,129.009,21.39845942205348,129.009,21.39845942205348,310.3
2022,QX-00009,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1737,0,0,724.903487,0,2.396181052,0.0,0.0,0.0,0.0,0.0,0.0,1737
2023,QX-00009,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1737,0,0,746.012246,0,2.328380009,0.0,0.0,0.0,0.0,0.0,0.0,1737
2024,QX-00009,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1737,0,0,738.347529,0,2.352550705,0.0,0.0,0.0,0.0,0.0,0.0,1737
2025,QX-00009,110,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,287.5,0,0,117.616729,0,2.44438017,0.0,0.0,0.0,0.0,0.0,0.0,287.5
2023,QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,287.5,0,0,63.770084,0,4.508383586,0.0,0.0,0.0,0.0,0.0,0.0,287.5
2024,QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,287.5,0,0,83.628967,0,3.437804033,0.0,0.0,0.0,0.0,0.0,0.0,287.5
2025,QX-00010,35,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,feasible,complete_2022_2025_feasible_path,287.5,613,61.3,79.75,0,3.605015674,0.0,0.0,12905.755582,2140.65132767766,12905.755582,2140.65132767766,287.5
2022,QX-00010,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1785,0,0,623.697781,0,2.861963044,0.0,0.0,0.0,0.0,0.0,0.0,1785
2023,QX-00010,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1785,0,0,609.974273,0,2.926352928,0.0,0.0,0.0,0.0,0.0,0.0,1785
2024,QX-00010,110,PATH_OPT_CLR_UNBOUNDED,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1785,0,0,677.526871,0,2.634581854,0.0,0.0,0.0,0.0,0.0,0.0,1785
2025,QX-00010,110,PATH_OPT_CLR_UNBOUNDED,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00001,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,1235,0,0,481.402045,0,1.777308611,0.0,0.0,0.0,0.0,0.0,0.0,855.6
2023,QX-00001,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,1235,0,0,489.474752,0,1.747996187,0.0,0.0,0.0,0.0,0.0,0.0,855.6
2024,QX-00001,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,1235,0,0,517.378225,0,1.653722477,0.0,0.0,0.0,0.0,0.0,0.0,855.6
2025,QX-00001,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,1285,19,1.9,544.55,0,1.663024516,0.0,0.0,1743.550662,188.18000856976303,1743.550662,188.18000856976303,905.6
2022,QX-00003,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,699.5,0,0,285.689106,0,1.859713895,0.0,0.0,0.0,0.0,0.0,0.0,531.3
2023,QX-00003,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,699.5,0,0,316.006262,0,1.681295797,0.0,0.0,0.0,0.0,0.0,0.0,531.3
2024,QX-00003,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,699.5,0,0,291.210068,0,1.824456152,0.0,0.0,0.0,0.0,0.0,0.0,531.3
2025,QX-00003,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,699.5,173,17.3,313.03,0,1.697281411,0.0,0.0,3645.6800540000004,604.7015068817583,3645.6800540000004,604.7015068817583,531.3
2022,QX-00004,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,1885.5,0,0,627.197268,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1254.394536
2023,QX-00004,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,1885.5,0,0,647.04862,0,1.938640308,0.0,0.0,0.0,0.0,0.0,0.0,1254.394536
2024,QX-00004,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,1885.5,0,0,633.321947,0,1.980658561,0.0,0.0,0.0,0.0,0.0,0.0,1254.394536
2025,QX-00004,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,1885.5,124,12.4,634.28,0,1.97766686,0.0,0.0,2613.760544,433.53912471027945,2613.760544,433.53912471027945,1254.394536
2022,QX-00005,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,2027,0,0,825.004193,0,1.773978863,0.0,0.0,0.0,0.0,0.0,0.0,1463.54
2023,QX-00005,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,2027,0,0,761.231803,0,1.922594398,0.0,0.0,0.0,0.0,0.0,0.0,1463.54
2024,QX-00005,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,2027,0,0,862.661537,0,1.696540227,0.0,0.0,0.0,0.0,0.0,0.0,1463.54
2025,QX-00005,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,2077,465,46.5,956.45,375.6034408,1.582455957,0.0,0.0,11132.635252,1745.5282990715316,11132.635252,1745.5282990715316,1513.54
2022,QX-00007,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,3113.5,0,0,1432.369977,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2864.739954
2023,QX-00007,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,3113.5,0,0,1542.216749,0,1.857546908,0.0,0.0,0.0,0.0,0.0,0.0,2864.739954
2024,QX-00007,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,3113.5,0,0,1449.401567,0,1.976498452,0.0,0.0,0.0,0.0,0.0,0.0,2864.739954
2025,QX-00007,110,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,3163.5,0,0,1528.82,0,1.906529189,0.0,0.0,1343.0,121.7414881,1343.0,121.7414881,2914.739954
2022,QX-00008,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1382,0,0,628.477601,0,1.952782403,0.0,0.0,0.0,0.0,0.0,0.0,1227.28
2023,QX-00008,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1382,0,0,660.560758,0,1.857936587,0.0,0.0,0.0,0.0,0.0,0.0,1227.28
2024,QX-00008,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1382,0,0,689.65649,0,1.7795526,0.0,0.0,0.0,0.0,0.0,0.0,1227.28
2025,QX-00008,110,PATH_OPT_CLR_LE_2,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00009,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1737,0,0,724.903487,0,1.934381645,0.0,0.0,0.0,0.0,0.0,0.0,1402.24
2023,QX-00009,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1737,0,0,746.012246,0,1.879647429,0.0,0.0,0.0,0.0,0.0,0.0,1402.24
2024,QX-00009,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1737,0,0,738.347529,0,1.899159874,0.0,0.0,0.0,0.0,0.0,0.0,1402.24
2025,QX-00009,110,PATH_OPT_CLR_LE_2,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00010,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1785,0,0,623.697781,0,1.68424521,0.0,0.0,0.0,0.0,0.0,0.0,1050.46
2023,QX-00010,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1785,0,0,609.974273,0,1.722138206,0.0,0.0,0.0,0.0,0.0,0.0,1050.46
2024,QX-00010,110,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,1785,0,0,677.526871,0,1.550432972,0.0,0.0,0.0,0.0,0.0,0.0,1050.46
2025,QX-00010,110,PATH_OPT_CLR_LE_2,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00001,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,288.8,0,0,115.174619,0,1.625197961,0.0,0.0,0.0,0.0,0.0,0.0,187.181556
2023,QX-00001,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,288.8,0,0,93.590778,0,2,0.0,0.0,0.0,0.0,0.0,0.0,187.181556
2024,QX-00001,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,288.8,0,0,112.361147,0,1.665892179,0.0,0.0,0.0,0.0,0.0,0.0,187.181556
2025,QX-00001,35,PATH_OPT_CLR_LE_2,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00003,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,326,0,0,120.132439,0,1.597636056,0.0,0.0,0.0,0.0,0.0,0.0,191.927916
2023,QX-00003,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,326,0,0,95.963958,0,2,0.0,0.0,0.0,0.0,0.0,0.0,191.927916
2024,QX-00003,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,326,0,0,111.634771,0,1.719248531,0.0,0.0,0.0,0.0,0.0,0.0,191.927916
2025,QX-00003,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,326,145,14.5,124.78,0,1.538130438,0.0,0.0,3055.034868,506.7323958472395,3055.034868,506.7323958472395,191.927916
2022,QX-00004,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,243,0,0,103.91286,0,1.771846314,0.0,0.0,0.0,0.0,0.0,0.0,184.117618
2023,QX-00004,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,243,0,0,92.058809,0,2,0.0,0.0,0.0,0.0,0.0,0.0,184.117618
2024,QX-00004,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,243,0,0,99.858544,0,1.843784324,0.0,0.0,0.0,0.0,0.0,0.0,184.117618
2025,QX-00004,35,PATH_OPT_CLR_LE_2,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00005,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,245,0,0,124.717665,0,1.295085183,0.0,0.0,0.0,0.0,0.0,0.0,161.52
2023,QX-00005,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,245,0,0,86.7,0,1.862975779,0.0,0.0,0.0,0.0,0.0,0.0,161.52
2024,QX-00005,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,245,0,0,128.361542,0,1.258320814,0.0,0.0,0.0,0.0,0.0,0.0,161.52
2025,QX-00005,35,PATH_OPT_CLR_LE_2,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00007,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,56,0,0,11.017072,0,2,0.0,0.0,0.0,0.0,0.0,0.0,22.034144
2023,QX-00007,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,56,0,0,14.05,0,1.568266477,0.0,0.0,0.0,0.0,0.0,0.0,22.034144
2024,QX-00007,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,56,0,0,13.057754,0,1.687437518,0.0,0.0,0.0,0.0,0.0,0.0,22.034144
2025,QX-00007,35,PATH_OPT_CLR_LE_2,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00008,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,185.6,0,0,107.396041,0,1.080498284,0.0,0.0,0.0,0.0,0.0,0.0,116.041238
2023,QX-00008,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,185.6,0,0,58.020619,0,2,0.0,0.0,0.0,0.0,0.0,0.0,116.041238
2024,QX-00008,35,PATH_OPT_CLR_LE_2,feasible,feasible,infeasible,no_complete_2022_2025_feasible_path,185.6,0,0,81.637692,0,1.421417426,0.0,0.0,0.0,0.0,0.0,0.0,116.041238
2025,QX-00008,35,PATH_OPT_CLR_LE_2,infeasible,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints,infeasible,no_complete_2022_2025_feasible_path,,,,,,,,,,,,,
2022,QX-00009,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,310.3,0,0,87.769699,0,1.962391599,0.0,0.0,0.0,0.0,0.0,0.0,172.23852
2023,QX-00009,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,310.3,0,0,86.11926,0,2,0.0,0.0,0.0,0.0,0.0,0.0,172.23852
2024,QX-00009,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,310.3,0,0,91.511376,0,1.882154193,0.0,0.0,0.0,0.0,0.0,0.0,172.23852
2025,QX-00009,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,310.3,6,0.6,89,0,1.93526427,0.0,0.0,129.009,21.39845942205348,129.009,21.39845942205348,172.23852
2022,QX-00010,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,287.5,0,0,117.616729,0,1.084370983,0.0,0.0,0.0,0.0,0.0,0.0,127.540168
2023,QX-00010,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,287.5,0,0,63.770084,0,2,0.0,0.0,0.0,0.0,0.0,0.0,127.540168
2024,QX-00010,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,287.5,0,0,83.628967,0,1.525071666,0.0,0.0,0.0,0.0,0.0,0.0,127.540168
2025,QX-00010,35,PATH_OPT_CLR_LE_2,feasible,feasible,feasible,complete_2022_2025_feasible_path,287.5,613,61.3,79.75,0,1.599249755,0.0,0.0,12905.755582,2140.65132767766,12905.755582,2140.65132767766,127.540168
