path_id,year,region_id,voltage_kv,action_id,candidate_id,action_type,delta_capacity_mva,storage_modules_delta,capex_wanyuan,eac_wanyuan_per_year,cost_basis,source_ref,action_status,cost_closure_status
PATH_ACTUAL_2021_2025,2022,QX-00001,35,ACT-UNRESOLVED-2022-QX-00001-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00001,35,ACT-UNRESOLVED-2023-QX-00001-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00001,35,ACT-UNRESOLVED-2024-QX-00001-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00001,35,ACT-UNRESOLVED-2025-QX-00001-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2022,QX-00001,110,ACT-UNRESOLVED-2022-QX-00001-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00001,110,ACT-UNRESOLVED-2023-QX-00001-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00001,110,ACT-UNRESOLVED-2024-QX-00001-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00001,110,ACT-UNRESOLVED-2025-QX-00001-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2022,QX-00003,35,ACT-UNRESOLVED-2022-QX-00003-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00003,35,ACT-UNRESOLVED-2023-QX-00003-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00003,35,ACT-UNRESOLVED-2024-QX-00003-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00003,35,ACT-UNRESOLVED-2025-QX-00003-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2022,QX-00003,110,ACT-UNRESOLVED-2022-QX-00003-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00003,110,ACT-UNRESOLVED-2023-QX-00003-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00003,110,ACT-UNRESOLVED-2024-QX-00003-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00003,110,ACT-UNRESOLVED-2025-QX-00003-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2022,QX-00004,35,ACT-UNRESOLVED-2022-QX-00004-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00004,35,ACT-UNRESOLVED-2023-QX-00004-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00004,35,ACT-UNRESOLVED-2024-QX-00004-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00004,35,ACT-UNRESOLVED-2025-QX-00004-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2022,QX-00004,110,ACT-UNRESOLVED-2022-QX-00004-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00004,110,ACT-UNRESOLVED-2023-QX-00004-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00004,110,ACT-UNRESOLVED-2024-QX-00004-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00004,110,ACT-UNRESOLVED-2025-QX-00004-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2022,QX-00005,35,ACT-UNRESOLVED-2022-QX-00005-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00005,35,ACT-UNRESOLVED-2023-QX-00005-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00005,35,ACT-UNRESOLVED-2024-QX-00005-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00005,35,ACT-UNRESOLVED-2025-QX-00005-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2022,QX-00005,110,ACT-UNRESOLVED-2022-QX-00005-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00005,110,ACT-UNRESOLVED-2023-QX-00005-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00005,110,ACT-UNRESOLVED-2024-QX-00005-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00005,110,ACT-2025-QX-00005|110|BDZ-00056|#1,,new_in_service_scope,50.0,0,未识别,未识别,device_cost_not_closed,SRC02:主变1+SRC03:设备明细,fact_scope_only,device_cost_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00005,110,ACT-2025-QX-00005|110|BDZ-00056|#2,,new_in_service_scope,50.0,0,未识别,未识别,device_cost_not_closed,SRC02:主变1+SRC03:设备明细,fact_scope_only,device_cost_not_closed
PATH_ACTUAL_2021_2025,2025,QX-00005,110,ACT-UNRESOLVED-2025-QX-00005-110,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2022,QX-00007,35,ACT-UNRESOLVED-2022-QX-00007-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2023,QX-00007,35,ACT-UNRESOLVED-2023-QX-00007-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
PATH_ACTUAL_2021_2025,2024,QX-00007,35,ACT-UNRESOLVED-2024-QX-00007-35,,actual_change_not_closed,未识别,0,未识别,未识别,device_action_not_closed,SRC08:Sheet1+SRC02+SRC03,not_closed,device_action_not_closed
