rcap,region_id,cumulative_in_service_eac_wanyuan,clr_2025,storage_modules,expansion_mva,feasible,note
2.8,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
2.8,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
2.8,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
2.9,QX-00001,188.18000856976303,1.6630245156551282,19.0,50.0,True,
2.9,QX-00003,604.7015068817583,1.6972814107274063,173.0,0.0,True,
2.9,QX-00004,433.53912471027945,1.9776668600618024,124.0,0.0,True,
2.9,QX-00005,1745.5282990715316,1.582455956924042,465.0,50.0,True,
2.9,QX-00007,121.7414881,1.906529188524483,0.0,50.0,True,
2.9,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
2.9,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
2.9,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
3.0,QX-00001,188.18000856976303,1.6630245156551282,19.0,50.0,True,
3.0,QX-00003,604.7015068817583,1.6972814107274063,173.0,0.0,True,
3.0,QX-00004,433.53912471027945,1.9776668600618024,124.0,0.0,True,
3.0,QX-00005,1745.5282990715316,1.582455956924042,465.0,50.0,True,
3.0,QX-00007,121.7414881,1.906529188524483,0.0,50.0,True,
3.0,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
3.0,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
3.0,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
unbounded,QX-00001,188.18000856976303,1.6630245156551282,19.0,50.0,True,
unbounded,QX-00003,604.7015068817583,1.6972814107274063,173.0,0.0,True,
unbounded,QX-00004,433.53912471027945,1.9776668600618024,124.0,0.0,True,
unbounded,QX-00005,1745.5282990715316,1.582455956924042,465.0,50.0,True,
unbounded,QX-00007,121.7414881,1.906529188524483,0.0,50.0,True,
unbounded,QX-00008,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
unbounded,QX-00009,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
unbounded,QX-00010,,,,,False,no_discrete_candidate_storage_state_satisfies_physical_and_path_constraints
