year,region_id,voltage_kv,scheme_code,evidence_grade,action_mode,status,status_reason,capacity_base_mva,positive_peak_base_mw,clr_model_base,clr_official_reference,expansion_delta_mva,storage_modules,expansion_capex_wanyuan,storage_capex_wanyuan,capex_wanyuan,eac_wanyuan_per_year,clr_after,a_expansion_limit_mva,strict_stock_R_le_2_status,selected_candidate_ids,asset_scope_id,quality_notes,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
2023,QX-00001,35,SCHEME_A,EVIDENCE_C,ACTION_COMBINED_EXPANSION_STORAGE,infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,276.5,93.590778,2.9543509083768917,2.95,,,,,,,,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00001,35,SCHEME_A,EVIDENCE_C,ACTION_EXPANSION_ONLY,infeasible,BDZ-00249:,276.5,93.590778,2.9543509083768917,2.95,,,,,,,,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00001,35,SCHEME_A,EVIDENCE_C,ACTION_STORAGE_ONLY,infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,276.5,93.590778,2.9543509083768917,2.95,,,,,,,,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00001,35,SCHEME_B,EVIDENCE_C,ACTION_COMBINED_EXPANSION_STORAGE,infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,276.5,93.590778,2.9543509083768917,2.95,,,,,,,,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00001,35,SCHEME_B,EVIDENCE_C,ACTION_EXPANSION_ONLY,infeasible,BDZ-00249:,276.5,93.590778,2.9543509083768917,2.95,,,,,,,,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00001,35,SCHEME_B,EVIDENCE_C,ACTION_STORAGE_ONLY,infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,276.5,93.590778,2.9543509083768917,2.95,,,,,,,,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00001,35,SCHEME_C0,EVIDENCE_C,ACTION_NONE,noncompliant,BDZ-00249:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00279:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00298:empirical_central:storage_power_insufficient_for_reverse_limit,276.5,93.590778,2.9543509083768917,2.95,0.0,0.0,0.0,,0.0,0.0,2.9543509083768917,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00003,35,SCHEME_A,EVIDENCE_C,ACTION_COMBINED_EXPANSION_STORAGE,feasible,feasible,302.0,95.96395799999999,3.1470148407175955,3.15,0.0,49.0,1031.919448,,1031.919448,171.1623719,3.1470148407175955,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00003,35,SCHEME_A,EVIDENCE_C,ACTION_EXPANSION_ONLY,infeasible,BDZ-00294:,302.0,95.96395799999999,3.1470148407175955,3.15,,,,,,,,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
2023,QX-00003,35,SCHEME_A,EVIDENCE_C,ACTION_STORAGE_ONLY,feasible,feasible,302.0,95.96395799999999,3.1470148407175955,3.15,0.0,49.0,1031.919448,,1031.919448,171.1623719,3.1470148407175955,0.0,infeasible_due_to_inherited_stock,[],historical_2023_reference_static,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,电网建模数据_Agent整合版_V1.2,"canonicalize scheme/evidence codes and compare expansion-only, storage-only and combined options",annual_2023_scheme_action_mode,annual_diagnostic_or_formal_2025_gate,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34
