pv_scale,gross_reverse_export_upper_bound_mw,gross_reverse_export_upper_bound_mva,receiving_effective_limit_mva,client_reverse_80_limit_mva,receiving_reverse_path_loading_pct,thermal_operating_pass,client_reverse_80_pass,interpretation
1.0,7.34,7.34,9.5263,7.621040000000001,77.0498514638422,True,True,ZERO_LOCAL_LOAD_CONSERVATIVE_REVERSE_UPPER_BOUND_NOT_SYNCHRONOUS_FLOW
1.2,8.808,8.808,9.5263,7.621040000000001,92.45982175661064,True,False,ZERO_LOCAL_LOAD_CONSERVATIVE_REVERSE_UPPER_BOUND_NOT_SYNCHRONOUS_FLOW
1.5,11.01,11.01,9.5263,7.621040000000001,115.5747771957633,False,False,ZERO_LOCAL_LOAD_CONSERVATIVE_REVERSE_UPPER_BOUND_NOT_SYNCHRONOUS_FLOW
