assumption_id,parameter,base_value,sensitivity_values,evidence_type,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
COST-discount_rate,discount_rate,0.08,"[0.04, 0.06, 0.08]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,23125a871c37cba1eda9f714b31b39fbb3c5c99bb6177ddafa66054f1d8bc062
COST-storage_fixed_om_fraction_per_year,storage_fixed_om_fraction_per_year,0.045,"[0.015, 0.03, 0.045]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,23125a871c37cba1eda9f714b31b39fbb3c5c99bb6177ddafa66054f1d8bc062
COST-storage_life_years,storage_life_years,8,"[8, 10, 12]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,23125a871c37cba1eda9f714b31b39fbb3c5c99bb6177ddafa66054f1d8bc062
COST-transformer_fixed_om_fraction_per_year,transformer_fixed_om_fraction_per_year,0.018,"[0.01, 0.018, 0.025]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,23125a871c37cba1eda9f714b31b39fbb3c5c99bb6177ddafa66054f1d8bc062
COST-transformer_measure_life_years,transformer_measure_life_years,30,"[25, 30, 35]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,23125a871c37cba1eda9f714b31b39fbb3c5c99bb6177ddafa66054f1d8bc062
