time,P,G_i,T2m,WS10m
20050107:0830,134.26,,-0.1,2.28
20050107:0930,0.0,,-1.68,2.0
20050107:1030,0.0,,-3.22,1.86
20050107:1130,0.0,,-4.77,1.45
20050107:1230,0.0,,-4.59,1.03
20050107:1330,0.0,,-3.9,0.76
20050107:1430,0.0,,-3.9,0.62
20050107:1530,0.0,,-4.04,0.69
20050107:1630,0.0,,-4.79,0.97
20050107:1730,0.0,,-4.88,1.03
20050107:1830,0.0,,-4.97,1.03
20050107:1930,0.0,,-5.35,0.97
20050107:2030,0.0,,-5.7,1.03
20050107:2130,0.0,,-6.11,1.1
20050107:2230,0.0,,-6.41,1.1
20050107:2330,2.12,,-6.62,1.03
20050108:0030,257.34,,-6.71,1.03
20050108:0130,483.6,,-3.83,0.48
20050108:0230,642.44,,-0.85,1.1
20050108:0330,737.26,,0.67,1.79
20050108:0430,754.77,,1.61,2.28
20050108:0530,707.88,,2.11,2.62
20050108:0630,585.71,,2.26,2.83
20050108:0730,405.91,,1.38,3.45
20050108:0830,166.55,,0.51,3.17
20050108:0930,0.0,,-1.4,2.62
20050108:1030,0.0,,-3.14,2.41
20050108:1130,0.0,,-4.17,2.34
20050108:1230,0.0,,-4.99,2.34
20050108:1330,0.0,,-5.7,2.28
20050108:1430,0.0,,-6.37,2.07
20050108:1530,0.0,,-7.01,1.79
20050108:1630,0.0,,-7.4,1.59
20050108:1730,0.0,,-7.34,1.38
20050108:1830,0.0,,-7.64,1.38
20050108:1930,0.0,,-7.88,1.31
20050108:2030,0.0,,-8.21,1.24
20050108:2130,0.0,,-8.58,1.24
20050108:2230,0.0,,-9.05,1.24
20050108:2330,2.06,,-9.32,1.24
20050109:0030,282.31,,-9.11,1.03
20050109:0130,506.67,,-5.97,0.41
20050109:0230,659.15,,-3.55,0.76
20050109:0330,741.37,,-2.18,0.9
20050109:0430,749.68,,-1.21,0.55
20050109:0530,698.61,,-0.57,0.34
20050109:0630,586.79,,-0.22,0.41
20050109:0730,404.73,,-0.43,0.41
20050109:0830,165.52,,-0.76,1.03
20050109:0930,0.0,,-1.66,1.52
20050109:1030,0.0,,-3.33,1.59
20050109:1130,0.0,,-4.8,1.52
20050109:1230,0.0,,-4.93,1.31
20050109:1330,0.0,,-5.22,1.31
20050109:1430,0.0,,-5.55,1.31
