region_id,voltage_kv,scheme,internal_check_status,critical_line_outage_count,unresolved_network_node_count,transformer_pressure_row_count,maximum_transformer_loading_pct,visible_in_client_matrix,method,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00007,110,B,warning_unresolved_network_node_mapping,16,27,17,184.9791145,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00007,110,C0,warning_unresolved_network_node_mapping,16,27,17,184.9791145,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00008,110,A,scheme_infeasible_transformer_screen_not_run,14,13,0,,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00008,110,B,scheme_infeasible_transformer_screen_not_run,14,13,0,,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00008,110,C0,warning_unresolved_network_node_mapping,14,13,13,174.4631579,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00009,110,A,scheme_infeasible_transformer_screen_not_run,21,24,0,,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00009,110,B,scheme_infeasible_transformer_screen_not_run,21,24,0,,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00009,110,C0,warning_unresolved_network_node_mapping,21,24,19,193.5839599,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00010,110,A,scheme_infeasible_transformer_screen_not_run,8,14,0,,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00010,110,B,scheme_infeasible_transformer_screen_not_run,8,14,0,,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
QX-00010,110,C0,warning_unresolved_network_node_mapping,8,14,14,206.4736842,False,capacity_network_contingency_screen_no_impedance,network_lines_110kv.csv+transformer_master.csv+real_plan_actions.csv+real_plan_dispatch_playback.csv.gz,电网建模数据_Agent整合版_V1.2,"internal current-capacity, topology-cut and transformer remaining-capacity contingency screen",real_2025_internal_capacity_network_screen,internal_summary_not_client_matrix,78b6a476a4210567b65bb0c79647bfd8aee8d99aed60795a84c4cd864db56825
