region_id,source_load_scale_ratio,local_reverse_peak_mw,local_reverse_flow_ratio,reverse_station_share,reverse_hosting_gap_ratio,maximum_line_loading,network_capacity_support_margin,positive_peak_cagr_2021_2025,recommendation_type,rcap_refined_threshold_lower,rcap_refined_threshold_upper,rcap_robust_near_optimal_lower,rcap_robust_near_optimal_upper,rcap_robust_upper_identified,technical_feasible
QX-00001,0.9727670554,48.09,0.0883114498209531,0.9333333333333333,0.014479845744192454,88.64,0.11360000000000003,0.062182753423998705,经济释放阈值型,2.359,2.36,2.5,,False,True
QX-00003,1.523259432,39.38,0.1258026387247229,0.9,0.03020477270549149,102.26,-0.022599999999999953,0.041883200006280985,当前不绑定型,,2.165,1.5,,False,True
QX-00004,1.161093839,49.91,0.07868764583464716,0.8,0.016491139559815855,75.57,0.24430000000000007,-0.0051092258900637955,当前不绑定型,,2.165,1.5,,False,True
QX-00005,1.527447645,59.9,0.06262742432955198,0.8095238095238095,0.055204140310523286,95.79,0.042099999999999915,0.06923192559398061,经济释放阈值型,2.171,2.172,2.3,,False,True
QX-00007,,32.21,0.02106853651836057,0.22580645161290322,0.0,105.06,-0.05059999999999998,0.01336129306847722,当前不绑定型,,2.165,1.5,,False,True
QX-00008,0.6730778345,51.05,0.06720996366317342,0.5789473684210527,0.016483227131497184,115.67,-0.15670000000000006,0.054780533659103625,技术约束优先型,,,,,False,False
QX-00009,1.002570385,57.93,0.07122132336669207,0.8095238095238095,0.0464911849320121,100.39,-0.0039000000000000146,0.03782776069343541,技术约束优先型,,,,,False,False
QX-00010,1.598645548,80.16,0.10907458056088501,0.8,0.11947721489706224,82.41,0.17590000000000006,0.08760490664696463,技术约束优先型,,,,,False,False
