year,region_id,voltage_kv,evidence_grade,asset_scope_id,capacity_base_mva,positive_peak_base_mw,clr_model_base,clr_official_reference,quality_notes,source_ref,source_sha256,SCHEME_C0_ACTION_NONE_status,SCHEME_C0_ACTION_NONE_status_reason,SCHEME_C0_ACTION_NONE_expansion_delta_mva,SCHEME_C0_ACTION_NONE_storage_modules,SCHEME_C0_ACTION_NONE_capex_wanyuan,SCHEME_C0_ACTION_NONE_eac_wanyuan_per_year,SCHEME_C0_ACTION_NONE_clr_after,SCHEME_C0_ACTION_NONE_selected_candidate_ids,SCHEME_A_ACTION_EXPANSION_ONLY_status,SCHEME_A_ACTION_EXPANSION_ONLY_status_reason,SCHEME_A_ACTION_EXPANSION_ONLY_expansion_delta_mva,SCHEME_A_ACTION_EXPANSION_ONLY_storage_modules,SCHEME_A_ACTION_EXPANSION_ONLY_capex_wanyuan,SCHEME_A_ACTION_EXPANSION_ONLY_eac_wanyuan_per_year,SCHEME_A_ACTION_EXPANSION_ONLY_clr_after,SCHEME_A_ACTION_EXPANSION_ONLY_selected_candidate_ids,SCHEME_A_ACTION_STORAGE_ONLY_status,SCHEME_A_ACTION_STORAGE_ONLY_status_reason,SCHEME_A_ACTION_STORAGE_ONLY_expansion_delta_mva,SCHEME_A_ACTION_STORAGE_ONLY_storage_modules,SCHEME_A_ACTION_STORAGE_ONLY_capex_wanyuan,SCHEME_A_ACTION_STORAGE_ONLY_eac_wanyuan_per_year,SCHEME_A_ACTION_STORAGE_ONLY_clr_after,SCHEME_A_ACTION_STORAGE_ONLY_selected_candidate_ids,SCHEME_A_ACTION_COMBINED_EXPANSION_STORAGE_status,SCHEME_A_ACTION_COMBINED_EXPANSION_STORAGE_status_reason,SCHEME_A_ACTION_COMBINED_EXPANSION_STORAGE_expansion_delta_mva,SCHEME_A_ACTION_COMBINED_EXPANSION_STORAGE_storage_modules,SCHEME_A_ACTION_COMBINED_EXPANSION_STORAGE_capex_wanyuan,SCHEME_A_ACTION_COMBINED_EXPANSION_STORAGE_eac_wanyuan_per_year,SCHEME_A_ACTION_COMBINED_EXPANSION_STORAGE_clr_after,SCHEME_A_ACTION_COMBINED_EXPANSION_STORAGE_selected_candidate_ids,SCHEME_B_ACTION_EXPANSION_ONLY_status,SCHEME_B_ACTION_EXPANSION_ONLY_status_reason,SCHEME_B_ACTION_EXPANSION_ONLY_expansion_delta_mva,SCHEME_B_ACTION_EXPANSION_ONLY_storage_modules,SCHEME_B_ACTION_EXPANSION_ONLY_capex_wanyuan,SCHEME_B_ACTION_EXPANSION_ONLY_eac_wanyuan_per_year,SCHEME_B_ACTION_EXPANSION_ONLY_clr_after,SCHEME_B_ACTION_EXPANSION_ONLY_selected_candidate_ids,SCHEME_B_ACTION_STORAGE_ONLY_status,SCHEME_B_ACTION_STORAGE_ONLY_status_reason,SCHEME_B_ACTION_STORAGE_ONLY_expansion_delta_mva,SCHEME_B_ACTION_STORAGE_ONLY_storage_modules,SCHEME_B_ACTION_STORAGE_ONLY_capex_wanyuan,SCHEME_B_ACTION_STORAGE_ONLY_eac_wanyuan_per_year,SCHEME_B_ACTION_STORAGE_ONLY_clr_after,SCHEME_B_ACTION_STORAGE_ONLY_selected_candidate_ids,SCHEME_B_ACTION_COMBINED_EXPANSION_STORAGE_status,SCHEME_B_ACTION_COMBINED_EXPANSION_STORAGE_status_reason,SCHEME_B_ACTION_COMBINED_EXPANSION_STORAGE_expansion_delta_mva,SCHEME_B_ACTION_COMBINED_EXPANSION_STORAGE_storage_modules,SCHEME_B_ACTION_COMBINED_EXPANSION_STORAGE_capex_wanyuan,SCHEME_B_ACTION_COMBINED_EXPANSION_STORAGE_eac_wanyuan_per_year,SCHEME_B_ACTION_COMBINED_EXPANSION_STORAGE_clr_after,SCHEME_B_ACTION_COMBINED_EXPANSION_STORAGE_selected_candidate_ids,recommended_scheme_code,recommended_current_measure,recommended_clr,recommended_eac_wanyuan_per_year
2023,QX-00001,35,EVIDENCE_C,historical_2023_reference_static,276.5,93.590778,2.9543509083768917,2.95,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34,noncompliant,BDZ-00249:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00279:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00298:empirical_central:storage_power_insufficient_for_reverse_limit,0.0,0.0,0.0,0.0,2.9543509083768917,[],infeasible,BDZ-00249:,,,,,,[],infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00249:,,,,,,[],infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00249:storage_required_but_no_available_connection_bay,,,,,,[],NOT_IDENTIFIABLE,not_identifiable_or_data_gap,,
2023,QX-00003,35,EVIDENCE_C,historical_2023_reference_static,302.0,95.96395799999999,3.1470148407175955,3.15,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34,noncompliant,BDZ-00294:empirical_central:storage_power_insufficient_for_reverse_limit,0.0,0.0,0.0,0.0,3.1470148407175955,[],infeasible,BDZ-00294:,,,,,,[],feasible,feasible,0.0,49.0,1031.919448,171.1623719,3.1470148407175955,[],feasible,feasible,0.0,49.0,1031.919448,171.1623719,3.1470148407175955,[],infeasible,BDZ-00294:,,,,,,[],feasible,feasible,0.0,49.0,1031.919448,171.1623719,3.1470148407175955,[],feasible,feasible,0.0,49.0,1031.919448,171.1623719,3.1470148407175955,[],SCHEME_B,SCHEME_B:[];storage_modules=49,3.1470148407175955,171.1623719
2023,QX-00004,35,EVIDENCE_C,historical_2023_reference_static,250.0,92.058809,2.715655380681712,2.72,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34,noncompliant,BDZ-00263:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00287:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00309:empirical_central:storage_power_insufficient_for_reverse_limit,0.0,0.0,0.0,0.0,2.715655380681712,[],infeasible,BDZ-00263:,,,,,,[],infeasible,BDZ-00287:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00287:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00263:,,,,,,[],infeasible,BDZ-00287:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00287:storage_required_but_no_available_connection_bay,,,,,,[],NOT_IDENTIFIABLE,not_identifiable_or_data_gap,,
2023,QX-00005,35,EVIDENCE_C,historical_2023_reference_static,263.0,86.7,3.0334486735870816,3.03,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34,noncompliant,BDZ-00247:missing_three_scenarios;BDZ-00290:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00314:empirical_central:storage_power_insufficient_for_reverse_limit,0.0,0.0,0.0,0.0,3.0334486735870816,[],infeasible,BDZ-00290:,,,,,,[],infeasible,BDZ-00290:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00290:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00290:,,,,,,[],infeasible,BDZ-00290:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00290:storage_required_but_no_available_connection_bay,,,,,,[],NOT_IDENTIFIABLE,not_identifiable_or_data_gap,,
2023,QX-00007,35,EVIDENCE_C,historical_2023_reference_static,36.0,14.05,2.562277580071174,2.56,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34,noncompliant,BDZ-00271:missing_three_scenarios,0.0,0.0,0.0,0.0,2.562277580071174,[],infeasible,no_station_option_input,,,,,,[],infeasible,no_station_option_input,,,,,,[],infeasible,no_station_option_input,,,,,,[],infeasible,no_station_option_input,,,,,,[],infeasible,no_station_option_input,,,,,,[],infeasible,no_station_option_input,,,,,,[],NOT_IDENTIFIABLE,not_identifiable_or_data_gap,,
2023,QX-00008,35,EVIDENCE_C,historical_2023_reference_static,190.6,58.020618999999996,3.2850390651640584,3.29,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34,noncompliant,BDZ-00301:empirical_central:storage_power_insufficient_for_reverse_limit,0.0,0.0,0.0,0.0,3.2850390651640584,[],infeasible,BDZ-00301:,,,,,,[],infeasible,BDZ-00301:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00301:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00301:,,,,,,[],infeasible,BDZ-00301:storage_required_but_no_available_connection_bay,,,,,,[],infeasible,BDZ-00301:storage_required_but_no_available_connection_bay,,,,,,[],NOT_IDENTIFIABLE,not_identifiable_or_data_gap,,
2023,QX-00009,35,EVIDENCE_C,historical_2023_reference_static,258.29999999999995,86.11926,2.9993290699432387,3.0,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34,compliant,physical_constraints_satisfied,0.0,0.0,0.0,0.0,2.9993290699432387,[],feasible,feasible,0.0,0.0,0.0,0.0,2.9993290699432387,[],feasible,feasible,0.0,0.0,0.0,0.0,2.9993290699432387,[],feasible,feasible,0.0,0.0,0.0,0.0,2.9993290699432387,[],feasible,feasible,0.0,0.0,0.0,0.0,2.9993290699432387,[],feasible,feasible,0.0,0.0,0.0,0.0,2.9993290699432387,[],feasible,feasible,0.0,0.0,0.0,0.0,2.9993290699432387,[],SCHEME_B,SCHEME_B:[];storage_modules=0,2.9993290699432387,0.0
2023,QX-00010,35,EVIDENCE_C,historical_2023_reference_static,224.0,63.770084000000004,3.5126188637292683,3.51,"diagnostic replay: 8760 sample/mapping exists but same-year asset scope, PV and candidate cost closure is unresolved",近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,52519a89b759ebf82b63a6166883e3ab311517e59fd2023afeeb67f5b3e19d34,noncompliant,BDZ-00260:empirical_central:storage_power_insufficient_for_reverse_limit;BDZ-00295:empirical_central:storage_power_insufficient_for_reverse_limit,0.0,0.0,0.0,0.0,3.5126188637292683,[],infeasible,BDZ-00260:,,,,,,[],feasible,feasible,0.0,254.0,5356.5301500000005,888.4767191999999,3.5126188637292683,[],feasible,feasible,0.0,254.0,5356.5301500000005,888.4767191999999,3.5126188637292683,[],infeasible,BDZ-00260:,,,,,,[],feasible,feasible,0.0,254.0,5356.5301500000005,888.4767191999999,3.5126188637292683,[],feasible,feasible,0.0,254.0,5356.5301500000005,888.4767191999999,3.5126188637292683,[],SCHEME_B,SCHEME_B:[];storage_modules=254,3.5126188637292683,888.4767191999999
