assumption_id,parameter,base_value,sensitivity_values,evidence_type,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
COST-discount_rate,discount_rate,0.08,"[0.04, 0.06, 0.08]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,cbbc788cb819c7c9b44e94541daa4fb6b95c5ea00e3685d80ba43df8d6329d30
COST-storage_fixed_om_fraction_per_year,storage_fixed_om_fraction_per_year,0.03,"[0.015, 0.03, 0.045]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,cbbc788cb819c7c9b44e94541daa4fb6b95c5ea00e3685d80ba43df8d6329d30
COST-storage_life_years,storage_life_years,10,"[8, 10, 12]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,cbbc788cb819c7c9b44e94541daa4fb6b95c5ea00e3685d80ba43df8d6329d30
COST-transformer_fixed_om_fraction_per_year,transformer_fixed_om_fraction_per_year,0.018,"[0.01, 0.018, 0.025]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,cbbc788cb819c7c9b44e94541daa4fb6b95c5ea00e3685d80ba43df8d6329d30
COST-transformer_measure_life_years,transformer_measure_life_years,30,"[25, 30, 35]",model_assumptions_requiring_sensitivity,model_contract.yaml,model_contract_3.2.0,copy frozen base and sensitivity values without reinterpretation,real_2021_2025_cost_library,explicit_model_assumption,cbbc788cb819c7c9b44e94541daa4fb6b95c5ea00e3685d80ba43df8d6329d30
