year,region_id,voltage_kv,official_capacity_mva,official_positive_peak_mw,official_clr,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256,device_table_capacity_mva,device_table_transformer_count,operating_2025_capacity_mva,operating_2025_transformer_count,capacity_difference_mva,reconciliation_status
2021,QX-00010,35,287.5,122.09,2.35,26,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,192,12,192,12,-95.5,historical_device_scope_not_closed
2021,QX-00010,110,1785,525.23,3.4,24,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1992.5,40,1992.5,40,207.5,historical_device_scope_not_closed
2022,QX-00001,35,250.5,115.174619,2.17,36,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,276.5,16,276.5,16,26,historical_device_scope_not_closed
2022,QX-00001,110,1235,481.402045,2.57,34,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1425,30,1425,30,190,historical_device_scope_not_closed
2022,QX-00003,35,292,120.132439,2.43,16,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,302,20,302,20,10,historical_device_scope_not_closed
2022,QX-00003,110,829.5,285.689106,2.9,14,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,985,20,985,20,155.5,historical_device_scope_not_closed
2022,QX-00004,35,240,103.91286,2.31,41,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,250,18,250,18,10,historical_device_scope_not_closed
2022,QX-00004,110,1955.5,627.197268,3.12,39,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,2107,40,2107,40,151.5,historical_device_scope_not_closed
2022,QX-00005,35,263,124.717665,2.11,21,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,275,16,275,16,12,historical_device_scope_not_closed
2022,QX-00005,110,2045.5,825.004193,2.48,19,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,2239.5,42,2239.5,42,194,historical_device_scope_not_closed
2022,QX-00007,35,56,11.017072,5.08,11,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,36,2,36,2,-20,historical_device_scope_not_closed
2022,QX-00007,110,3345,1432.369977,2.34,9,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,3714,61,3714,61,369,historical_device_scope_not_closed
2022,QX-00008,35,185.6,107.396041,1.73,46,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,164.3,12,164.3,12,-21.3,historical_device_scope_not_closed
2022,QX-00008,110,1430.5,628.477601,2.28,44,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1857.5,38,1857.5,38,427,historical_device_scope_not_closed
2022,QX-00009,35,258.3,87.769699,2.94,31,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,274.3,16,274.3,16,16,historical_device_scope_not_closed
2022,QX-00009,110,1807,724.903487,2.49,29,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1977,42,1977,42,170,historical_device_scope_not_closed
2022,QX-00010,35,234.5,117.616729,1.99,26,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,192,12,192,12,-42.5,historical_device_scope_not_closed
2022,QX-00010,110,1885,623.697781,3.02,24,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1992.5,40,1992.5,40,107.5,historical_device_scope_not_closed
2023,QX-00001,35,276.5,93.590778,2.95,36,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,276.5,16,276.5,16,0,historical_device_scope_not_closed
2023,QX-00001,110,1365,489.474752,2.79,34,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,1425,30,1425,30,60,historical_device_scope_not_closed
2023,QX-00003,35,302,95.963958,3.15,16,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,302,20,302,20,0,historical_device_scope_not_closed
2023,QX-00003,110,966.5,316.006262,3.06,14,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,985,20,985,20,18.5,historical_device_scope_not_closed
2023,QX-00004,35,250,92.058809,2.72,41,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,250,18,250,18,0,historical_device_scope_not_closed
2023,QX-00004,110,1994,647.04862,3.08,39,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,2107,40,2107,40,113,historical_device_scope_not_closed
2023,QX-00005,35,263,86.7,3.03,21,SRC08:Sheet1+SRC02+SRC03,电网建模数据_Agent整合版_V1.2,compare annual official total anchor with year-end device table; do not infer historical devices,real_2021_2025,historical_device_scope_not_closed,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,275,16,275,16,12,historical_device_scope_not_closed
