region_id,voltage_kv,station_id,capacity_mva,transformer_count,asset_scope_id,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,BDZ-00249,40,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00252,40,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00261,20.5,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00275,40,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00279,30,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00298,30,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00299,36,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,35,BDZ-00321,40,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00015,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00033,90,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00034,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00046,130,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00058,70,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00072,71.5,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00105,111.5,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00116,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00117,63,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00123,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00126,113,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00132,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00165,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00174,100,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00001,110,BDZ-00177,63,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00254,30,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00258,40,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
QX-00003,35,BDZ-00267,16,2,year_end_2025,SRC02:主变1+SRC03:设备明细,电网建模数据_Agent整合版_V1.2,sum same-voltage transformer capacities by anonymized station key,real_2021_2025,validated_equipment_scope,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
