time,P,G_i,T2m,WS10m
20050107:1330,0.0,,3.4,3.52
20050107:1430,0.0,,2.81,3.24
20050107:1530,0.0,,2.06,3.1
20050107:1630,0.0,,1.66,3.1
20050107:1730,0.0,,1.58,3.17
20050107:1830,0.0,,1.58,3.24
20050107:1930,0.0,,1.32,3.45
20050107:2030,0.0,,1.1,3.38
20050107:2130,0.0,,1.14,3.24
20050107:2230,0.0,,1.01,3.17
20050107:2330,85.72,,0.79,3.03
20050108:0030,238.38,,1.18,2.76
20050108:0130,397.27,,2.63,3.31
20050108:0230,495.41,,3.95,3.52
20050108:0330,682.21,,4.89,2.97
20050108:0430,651.77,,5.69,2.34
20050108:0530,617.24,,6.11,2.41
20050108:0630,583.91,,6.33,2.48
20050108:0730,386.7,,6.41,2.69
20050108:0830,142.2,,5.97,2.69
20050108:0930,0.0,,4.86,2.34
20050108:1030,0.0,,3.51,2.55
20050108:1130,0.0,,2.61,2.69
20050108:1230,0.0,,2.0,2.83
20050108:1330,0.0,,1.34,3.17
20050108:1430,0.0,,0.81,3.1
20050108:1530,0.0,,0.34,2.9
20050108:1630,0.0,,-0.06,2.76
20050108:1730,0.0,,-0.39,2.69
20050108:1830,0.0,,-0.69,2.76
20050108:1930,0.0,,-0.51,2.83
20050108:2030,0.0,,-0.83,2.9
20050108:2130,0.0,,-1.1,2.83
20050108:2230,0.0,,-1.3,2.76
20050108:2330,121.5,,-1.48,2.76
20050109:0030,373.0,,-0.77,2.62
20050109:0130,580.49,,1.06,3.24
20050109:0230,723.61,,2.76,3.66
20050109:0330,792.0,,3.96,3.66
20050109:0430,772.49,,4.75,3.38
20050109:0530,709.83,,5.23,3.1
20050109:0630,571.52,,5.5,2.97
20050109:0730,308.38,,5.28,3.31
20050109:0830,90.93,,4.84,3.03
20050109:0930,0.0,,4.01,2.41
20050109:1030,0.0,,3.09,2.41
20050109:1130,0.0,,2.34,2.55
20050109:1230,0.0,,1.51,2.76
20050109:1330,0.0,,0.84,2.9
20050109:1430,0.0,,0.04,2.9
20050109:1530,0.0,,-0.51,2.76
20050109:1630,0.0,,-0.94,2.55
20050109:1730,0.0,,-1.26,2.34
20050109:1830,0.0,,-1.56,2.28
20050109:1930,0.0,,-1.6,2.14
20050109:2030,0.0,,-1.94,2.14
20050109:2130,0.0,,-2.28,2.0
20050109:2230,0.0,,-2.71,1.93
20050109:2330,125.95,,-3.19,1.72
20050110:0030,378.97,,-2.1,1.31
20050110:0130,577.35,,1.19,1.17
20050110:0230,704.3,,2.81,1.1
20050110:0330,759.38,,3.88,0.76
20050110:0430,747.73,,4.75,0.69
20050110:0530,660.39,,5.4,0.69
20050110:0630,567.41,,5.78,0.76
20050110:0730,388.17,,5.88,0.97
20050110:0830,156.06,,5.64,1.03
20050110:0930,0.0,,4.96,1.03
20050110:1030,0.0,,3.09,1.38
20050110:1130,0.0,,1.23,1.45
20050110:1230,0.0,,0.59,1.24
20050110:1330,0.0,,-0.62,1.59
20050110:1430,0.0,,-0.55,1.66
20050110:1530,0.0,,-0.3,1.66
20050110:1630,0.0,,-0.26,1.72
20050110:1730,0.0,,-0.16,1.79
20050110:1830,0.0,,-0.19,1.86
20050110:1930,0.0,,0.74,1.59
20050110:2030,0.0,,1.0,1.59
20050110:2130,0.0,,1.32,1.59
20050110:2230,0.0,,1.48,1.45
20050110:2330,9.18,,1.67,1.59
20050111:0030,45.94,,2.03,1.24
20050111:0130,122.51,,3.0,1.24
20050111:0230,144.05,,4.02,1.24
20050111:0330,167.77,,4.39,1.1
20050111:0430,154.95,,4.48,0.9
20050111:0530,152.18,,4.3,0.62
20050111:0630,116.63,,4.2,0.69
20050111:0730,73.79,,3.8,1.45
20050111:0830,32.87,,3.47,1.45
20050111:0930,0.0,,3.25,1.24
20050111:1030,0.0,,2.83,1.38
20050111:1130,0.0,,2.34,1.66
20050111:1230,0.0,,1.9,1.72
20050111:1330,0.0,,1.29,2.0
20050111:1430,0.0,,0.93,1.93
20050111:1530,0.0,,0.43,2.0
20050111:1630,0.0,,-0.05,2.0
20050111:1730,0.0,,-0.48,2.07
20050111:1830,0.0,,-0.73,2.14
20050111:1930,0.0,,-0.7,2.21
20050111:2030,0.0,,-0.8,2.41
20050111:2130,0.0,,-0.95,2.48
20050111:2230,0.0,,-1.01,2.55
20050111:2330,129.86,,-1.28,2.62
20050112:0030,377.95,,-0.59,2.28
20050112:0130,583.27,,1.25,2.48
20050112:0230,711.16,,2.8,2.55
