measure,capability_mw,capability_kind,capex_low_wanyuan,capex_center_wanyuan,capex_high_wanyuan,capex_per_mw_low,capex_per_mw_center,capex_per_mw_high,cost_basis,quality_flag
新建10kV联络（NEW-TIE-01）,8.0,站间转供：正向 8.00 MW（绑定 sending_feeder_load_exhausted(8.23MW)），反向 8.75 MW（绑定 sending_feeder_load_exhausted(8.96MW)，河东线边界为代理值）；取较弱方向,84.0,150.0,234.0,10.5,18.8,29.2,60万元/km行业典型值（±30%）×长度2.5km（±20%）；负责人2026-08-26确认按已有数据定稿,model_assumption_confirmed_owner_2026_08_26
储能一体化柜（单柜）,0.1,本地反向吸收＋正向支撑（含能量时移，0.215MWh/柜）,27.2,27.2,27.2,272.0,272.0,272.0,苏州单套最高限价27.2万元（招标公告）,source_backed
储能一体化柜（十柜批量）,1.0,同上，批量采购水平,210.456,210.456,210.456,210.5,210.5,210.5,浏阳1MW/2.2MWh中标价210.456万元,source_backed
50 MVA第三台主变,47.5,新增正向供电容量（不治理反向）,1170.0,1343.0,1516.0,24.6,28.3,31.9,徐州同类型工程区间（SRC10+SRC03，74个候选点）,source_backed
